"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"EFHD1","EFHD1",0.345612096769964,2.18894137260125,7.75627686912655,1.33536089678203e-14,3.12450003880921e-13,22.3422817467513,1.2706899878322,1.27
"TREH","TREH",0.345183753459511,-0.335147637070798,6.38037161340309,2.15312776589305e-10,3.32364153213741e-09,12.8904414286033,1.27031276967653,1.27
"GPD1","GPD1",0.343279191061932,0.630692861443522,5.13439666536072,3.08290229736897e-07,2.88141462436908e-06,5.86483080519258,1.26863688281266,1.27
"SLC47A1","SLC47A1",0.337084922535931,2.25280742854343,4.31414193345217,1.67413583541351e-05,0.000107255882939243,2.05040642852176,1.26320161652534,1.26
"ACADSB","ACADSB",0.336801660647154,1.17771489732333,5.36118183001908,9.14556172690281e-08,9.30481280174937e-07,7.03359686794967,1.2629536211135,1.26
"HMGCS2","HMGCS2",0.336154268680424,0.435083339158463,4.88470878258114,1.11151463171622e-06,9.26262193096852e-06,4.6350753255196,1.26238701307574,1.26
"PRODH2","PRODH2",0.335181814586854,1.31521237494334,3.5359757075396,0.000414792791592203,0.00191478839459606,-0.965706656229107,1.26153638301329,1.26
"BHMT2","BHMT2",0.333774872584886,2.46827988505974,4.6417988419327,3.6602125233056e-06,2.71397193986945e-05,3.49626584554412,1.26030670987102,1.26
"PHYH","PHYH",0.332632835757384,2.28991595681883,5.36702642982464,8.85797282256783e-08,9.03919881344871e-07,7.06436815178392,1.25930944634347,1.26
"AQP3","AQP3",0.331424589500924,0.783978350509444,5.69295822757196,1.41794289651882e-08,1.65130593586616e-07,8.8319543889472,1.25825522565707,1.26
"KHK","KHK",0.329960036902256,0.838159140188168,4.65975245529083,3.35791236299604e-06,2.5153592609256e-05,3.57848884802675,1.25697855534578,1.26
"PLAT","PLAT",0.329934282991448,1.14070835791517,6.58883896479162,5.54684504043051e-11,9.22219358348e-10,14.2092500337369,1.25695611690679,1.26
"ARG2","ARG2",0.329565573743763,0.806590159207211,5.57978481396655,2.70898575678977e-08,3.01407827673291e-07,8.20672116318446,1.25663491796032,1.26
"MYH8","MYH8",0.329396221521039,-0.00521589854084309,4.17644968428222,3.07811611755125e-05,0.000187009728472737,1.47383569088736,1.25648741525166,1.26
"DPYS","DPYS",0.328129649536805,2.10827923681019,3.35160694324934,0.000817225651668343,0.00346871410888701,-1.59375258465957,1.25538480288905,1.26
"HPN","HPN",0.328048322872913,1.10110551308255,6.05902426436309,1.61020995444942e-09,2.17495334005882e-08,10.9376006618527,1.25531403715032,1.26
"F11","F11",0.326720019189296,0.187038690464853,6.64685593622023,3.77593913113813e-11,6.41345143121053e-10,14.5835235266307,1.25415878892777,1.25
"SLC5A12","SLC5A12",0.326712969831329,1.37140461114345,3.45001574794367,0.000571271915760664,0.00253526707406805,-1.26266425447588,1.25415266081864,1.25
"BEX1","BEX1",0.326578379585896,0.156543982952927,7.47183625733691,1.14015072951254e-13,2.46992398501393e-12,20.2446428203368,1.25403566530934,1.25
"BPHL","BPHL",0.326304009288677,1.43334196597106,5.52126559086981,3.76835723465214e-08,4.07740240468975e-07,7.88821209409575,1.25379719673969,1.25
"FTCD","FTCD",0.3260975794252,0.701937652061442,4.22336927428499,2.50621890896558e-05,0.000155027757677998,1.66824035841527,1.25361780839994,1.25
"SLC22A11","SLC22A11",0.32460756803783,1.04581703052205,4.35649162200314,1.38323764067705e-05,8.99148434578695e-05,2.23143735491808,1.25232374381555,1.25
"GPX3","GPX3",0.322442994069577,4.3026325530306,4.00867050445962,6.31249693963571e-05,0.000356062420687241,0.796159398028453,1.25044620576642,1.25
"TLN2","TLN2",0.321505072769676,0.645849345087447,7.21674993724959,7.32890580184963e-13,1.49876123647825e-11,18.4268124168001,1.24963353299449,1.25
"KLK1","KLK1",0.319801954827615,0.191199671842291,3.8958991166887,0.000100798897370679,0.00054331508993948,0.356047913053158,1.24815919676992,1.25
"KCNJ1","KCNJ1",0.316895412781168,1.70027266073617,4.88113588709599,1.13162252483806e-06,9.40637452437396e-06,4.61791304316092,1.24564710993624,1.25
"ACPP","ACPP",0.316095006129754,0.139136679996658,6.08967458709461,1.33452980532884e-09,1.8464908334895e-08,11.1196614285843,1.24495621707208,1.24
"HIBCH","HIBCH",0.31377773275252,2.08303895952372,5.60871250058094,2.29845526061373e-08,2.59114719291901e-07,8.36537405739664,1.24295815915062,1.24
