"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"IDO1","IDO1",1.33599138434327,-0.440095680382805,28.7432146048539,3.22478320172406e-154,2.74778401980238e-151,341.699806976575,2.52448898813755,2.52
"JCHAIN","JCHAIN",1.3308375029643,0.716731924100011,12.5955826486582,3.68057090603992e-35,5.21967233207464e-34,68.6228783407681,2.51548659748669,2.52
"CTSS","CTSS",1.32798198443249,0.219938934377824,29.239902237778,9.91159399922494e-159,1.68910081070125e-155,352.061019784708,2.51051263249412,2.51
"LAPTM5","LAPTM5",1.32365332779004,0.560177243387749,24.4580127338865,7.04724415718539e-117,7.27859308153744e-115,255.973231928533,2.50299138906109,2.5
"HLA-DQA1","HLA-DQA1",1.28212373332861,0.549084309376315,14.8700086038329,1.06351923059059e-47,2.31865333321721e-46,97.311269480717,2.43196713607538,2.43
"HLA-DRA","HLA-DRA",1.27634294679302,2.76863936367278,22.8234645796292,1.63284131094742e-103,1.06342690474123e-101,225.297257828744,2.42224189689496,2.42
"GZMK","GZMK",1.27258647913586,-0.173031580452774,26.0486802817169,2.22685848634325e-130,3.79493800380996e-128,286.965121656348,2.41594310377129,2.42
"MS4A6A","MS4A6A",1.2694027933312,0.624038012458379,25.6275341903623,9.25909173072994e-127,1.31491962425991e-124,278.657067444553,2.41061756856583,2.41
"STAT1","STAT1",1.26020670764162,1.4655419127142,25.7620903496548,6.51206325772682e-128,9.79203629562599e-126,281.303698329318,2.39530058049098,2.4
"APOC1","APOC1",1.26012753204255,0.13043006587521,20.9943917908709,3.08230200231131e-89,1.49367478548024e-87,192.538082602307,2.39516912917998,2.4
"HLA-DPA1","HLA-DPA1",1.25922227496726,2.60540907581963,23.4099622240906,3.02075641263092e-108,2.22210318842814e-106,236.159642873182,2.39366668852508,2.39
"CD2","CD2",1.25531446468374,-0.198132006330954,27.8277113241387,5.41942289486517e-146,2.21654396399986e-143,322.813245124919,2.38719176628531,2.39
"PLAC8","PLAC8",1.24855778652145,-0.408858602916475,27.1851432779715,2.70471974553242e-140,7.68215538835251e-138,309.730151287403,2.37603779769227,2.38
"FCER1G","FCER1G",1.23302674425829,0.676932546677139,22.706597806363,1.40385360435082e-102,8.86074265709082e-101,223.152852811995,2.3505962311004,2.35
"CCL19","CCL19",1.22934678397506,0.303677794959815,14.8872212624905,8.42115992627898e-48,1.84381927722061e-46,97.543378176992,2.34460807853757,2.34
"EVI2B","EVI2B",1.19199660012711,0.0190757360930816,27.1509571914691,5.41341074723855e-140,1.45663486553985e-137,309.038263392058,2.28468710956899,2.28
"SRGN","SRGN",1.18666517753293,1.82402015549697,23.5975242233573,8.94294231130007e-110,6.92739281310934e-108,239.668206321167,2.27625971964453,2.28
"CD163","CD163",1.18506413329681,0.266316570577018,21.0409691833608,1.36417075198057e-89,6.67399327224943e-88,193.350304461037,2.27373502041883,2.27
"LCP1","LCP1",1.17776978874827,0.686508988817085,23.6961082461265,1.3968255047642e-110,1.13353498303285e-108,241.518966416994,2.26226790616519,2.26
"HLA-DRB1","HLA-DRB1",1.17592923060918,2.20158563459663,19.2822589646067,1.35613910668735e-76,5.48083887979376e-75,163.534524586106,2.25938359551433,2.26
"TAP1","TAP1",1.14527135937768,0.599622535121179,28.6027225210644,6.00665898660982e-153,4.38700629557753e-150,338.783386270515,2.21187730391476,2.21
"APOBEC3G","APOBEC3G",1.14453693593291,0.00841172558150411,29.3356225399796,1.32638641872849e-159,2.71246022629977e-156,354.066701820193,2.21075160437481,2.21
