"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"EVI2A",7441,12.4121710824449,0.0394523550393235,0,0,1.4041425240984,0.489689380353441,1.4
"HLA-DRB1",10097,12.3437728897125,0.0565789391688059,0,0,1.62270143083778,0.698397575440603,1.62
"IRF8",6465,12.2708557474914,0.0391070521482224,0,0,1.39462475538097,0.47987699562046,1.39
"BIN2",2005,12.2625311637145,0.023630615696296,0,0,1.22244635929576,0.289771161393592,1.22
"MYO1F",6694,12.2506028795321,0.0244708060961385,0,0,1.23095850288165,0.299782127625826,1.23
"IFI16",9404,12.2388174588991,0.0369344897734041,0,0,1.36796799592044,0.452034478274268,1.37
"SAMHD1",6899,12.2235519354115,0.0249181673411071,0,0,1.23506631965043,0.304588512629298,1.24
"BTN3A1",9640,12.2194761695635,0.0230108321925252,0,0,1.21518866308803,0.281180315618385,1.22
"AOAH",8916,12.1873482638088,0.0232340123239565,0,0,1.21685814820164,0.283160999757683,1.22
"NKG7",2398,12.1820215103219,0.0349419430437896,0,0,1.34319009976498,0.425663501771886,1.34
"THEMIS2",714,12.1511104726202,0.0214698470918427,0,0,1.19821141586382,0.260882483843243,1.2
"GIMAP6",3589,12.0958574535388,0.0256706995718199,0,0,1.24014526627185,0.310509122753354,1.24
"FCN1",3168,12.0924246195969,0.0391230696505599,0,0,1.38808197495996,0.473092770636634,1.39
"KLRB1",7641,12.082402193042,0.0449318263773053,0,0,1.45688236995562,0.542884397558537,1.46
"GZMB",4590,12.0177066913893,0.0393331511575477,0,0,1.38769861618307,0.472694273859488,1.39
"LYN",8885,11.9892796573716,0.0304297706388062,0,0,1.2877308003442,0.364831030098324,1.29
"WARS",2067,11.9700908663398,0.0407740685818307,0,0,1.40256662720204,0.488069305914882,1.4
"PIK3CG",6929,11.9375343966549,0.0188554097452776,0,0,1.16884781536198,0.225087102397273,1.17
"BTN3A2",2007,11.870033290459,0.03415024823251,0,0,1.32442356312621,0.405364583397333,1.32
"CD69",1615,11.8016808073171,0.035865397903966,0,0,1.34096536767875,0.423271978090027,1.34
"APOBEC3G",9100,11.7512994470718,0.0371524742556384,0,0,1.35340146017826,0.436589850177631,1.35
"CST7",5104,11.7249662902213,0.0309143747233536,0,0,1.28562510048743,0.362470001514593,1.29
"RUNX3",3910,11.7163687923969,0.0214702980807486,0,0,1.19048870300444,0.251553930396742,1.19
"IL2RB",6947,11.6892764135368,0.0280818760832132,0,0,1.25549546005339,0.328256811747367,1.26
"HLA-DQB2",2898,11.6080442900927,0.0280124016602865,0,0,1.25281135961195,0.325169199144471,1.25
"GPR65",7640,11.5808851741449,0.030971203336708,0,0,1.28224678102045,0.358673949547509,1.28
"KLRF1",6823,11.5281919144502,0.0272412887311161,0,0,1.24318655346689,0.314042804489256,1.24
"APOL3",1628,11.5126172440413,0.0235298148495851,0,0,1.20655171397573,0.270889752186432,1.21
"HCP5",4312,11.4918513669183,0.0326851197295573,0,0,1.29739028223967,0.375612537842002,1.3
"ANXA1",7959,11.4844001758892,0.0394116203300685,0,0,1.36852218229486,0.452618819450716,1.37
"SLA",6627,11.4679169060894,0.0274104224101646,0,0,1.24344306144869,0.314340446560579,1.24
"CD86",9405,11.4262368752501,0.022869035518491,0,0,1.19856405813565,0.261307016942786,1.2
"ISG20",2126,11.4146708229578,0.0356054281045404,0,0,1.32539670812511,0.406424241323818,1.33
"TYROBP",6700,11.4027849625414,0.0531184828582175,0,0,1.52171547874388,0.605698637568693,1.52
"PTGDR",1210,11.3565441000485,0.0149853457966474,0,0,1.12520022043052,0.170181740394103,1.13
"PSMB10",9019,11.3523232696084,0.0339561563478355,0,0,1.30629547719058,0.385481263853995,1.31
"GIMAP4",601,11.3326025038274,0.0318349264752723,0,0,1.28411335999872,0.360772567482832,1.28
"TAP2",9084,11.2705536684633,0.0165416319446777,0,0,1.13794698821504,0.186433350596457,1.14
"ARHGDIB",4471,11.2659626313502,0.039555025319029,0,0,1.36190440130988,0.44562543712629,1.36
"IKZF1",1197,11.1574055229352,0.0189455832806227,0,0,1.15779798875252,0.211383555530449,1.16
"CCL5",7001,11.1258171232698,0.0514482856247321,0,0,1.48699955656414,0.572404217166519,1.49
"HLA-C",4688,11.1198982727401,0.0439994550691664,0,0,1.40373388887447,0.489269464425131,1.4
"STK17B",3178,11.0936025524356,0.0188707092041627,0,0,1.15616247052313,0.209344147793569,1.16
"B2M",6738,11.0272461600013,0.0265595975726111,0,0,1.22508276603662,0.292879220343753,1.23
"HLA-DOA",7204,11.0031613386857,0.0254668682768159,0,0,1.21437673788436,0.280216060440862,1.21
"STAT1",6849,10.9879125874544,0.0453959030494156,0,0,1.41304382847603,0.498806214535536,1.41
"CORO1A",960,10.9798702750665,0.0376032306455997,0,0,1.33133957371305,0.412878594412088,1.33
"FAR2",4232,10.9774027808038,0.0153010035281915,0,0,1.12347286410121,0.167965278679457,1.12
"ITK",3345,10.9694795020631,0.0300528357182201,0,0,1.25672062324865,0.329663965389887,1.26
"AIM2",3894,10.9514051470478,0.0267734647783948,0,0,1.22536118684769,0.293207059978416,1.23
"LCP1",3625,10.9408836657843,0.046401553302629,0,0,1.42175610241884,0.507673996595753,1.42
"ADGRE2",1739,10.9314520572902,0.0246548900339931,0,0,1.2054014859553,0.269513748384358,1.21
"BIRC3",9068,10.9099925093049,0.0374688233710552,0,0,1.32756691638304,0.408784582310681,1.33
"RAC2",17,10.900333405656,0.0401873533903354,0,0,1.35477714186787,0.438055550645575,1.35
"CD74",394,10.8996822543375,0.0419702670280467,0,0,1.3731246288894,0.457462574735406,1.37
"IFITM1",4760,10.8923500718995,0.0476103049125813,0,0,1.43255259580585,0.518588108137713,1.43
"IL7R",6837,10.8779558908856,0.0501821069998092,0,0,1.45990930515417,0.545878746455628,1.46
"CD300A",5602,10.8735112736205,0.0220685699323626,0,0,1.18096224581609,0.239962843952229,1.18
"MARCH1",185,10.855218472692,0.0263105817266471,0,0,1.21892310117261,0.28560711278637,1.22
"GPR18",4863,10.8216194615824,0.0289978964813316,0,0,1.24298096307649,0.31380420090733,1.24
"P2RX7",1259,10.7841650735639,0.021294233731862,0,0,1.17254275685691,0.229640531679451,1.17
"DOK2",9233,10.744300328939,0.0157386447990275,0,0,1.12435742174342,0.169100726491245,1.12
"RIPOR2",9536,10.7223338609747,0.022969190231533,0,0,1.18614742016627,0.246283326178736,1.19
"ADGRE5",7127,10.7007884925486,0.027372063834809,0,0,1.2251026751203,0.29290266570083,1.23
"IL18RAP",7609,10.6606490971154,0.019396589615881,0,0,1.15410959965972,0.20678023557566,1.15
"TLR8",8314,10.6500802653065,0.0211304788573144,0,0,1.1688107042593,0.225041295874761,1.17
"GPR171",5501,10.6302189193158,0.0316132397006998,0,0,1.26230073037842,0.336055658767245,1.26
"LCK",3601,10.6222463822048,0.0270966398436901,0,0,1.22080026846734,0.287827184549542,1.22
"FLI1",7850,10.6078346700174,0.018434890706805,0,0,1.14516403965893,0.195554272777628,1.15
"C3AR1",4797,10.6044290597104,0.0337301701982119,0,0,1.2813718456723,0.357689197038895,1.28
