"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"CD52","CD52",0.577439768278868,0.196057516645595,9.57598945130776,2.64379731354506e-21,1.68955172068739e-19,37.5249103581313,1.49219881559717,1.49
"CCL5","CCL5",0.572404217166509,0.134435084149519,10.7664186650444,2.27122894495025e-26,2.55201274308971e-24,49.0032050913739,1.48699955656413,1.49
"FCER1G","FCER1G",0.570513262255022,0.676932546677139,10.2483987626402,4.22265512101167e-24,3.65903801799529e-22,43.8585135663287,1.48505180802366,1.49
"LST1","LST1",0.56965526674094,-0.169289545598972,15.0309249739859,1.18946633269391e-48,1.21622932517952e-45,99.6510439048122,1.48416888478366,1.48
"IRF1","IRF1",0.561548066663987,0.258313299485046,12.4634852276796,1.73947490389381e-34,4.68056076113531e-32,67.4296962054408,1.47585201329585,1.48
"NNMT","NNMT",0.551388708843902,0.625289334635493,7.36019017351137,2.59304160691427e-13,7.91458221811892e-12,19.490364958876,1.4654956734971,1.47
"EVI2B","EVI2B",0.546090032749097,0.0190757360930816,12.1334715998406,7.92301490501647e-33,1.80028505341763e-30,63.6614589813321,1.46012312817673,1.46
"IL7R","IL7R",0.545878746455617,-0.197187112276173,10.4981105109657,3.4996885147097e-25,3.3758787795195e-23,46.3099374029862,1.45990930515416,1.46
"KLRB1","KLRB1",0.542884397558527,-0.221181287921832,12.5327311334658,7.71964984497604e-35,2.25524056185372e-32,68.2314951818614,1.45688236995561,1.46
"TAP1","TAP1",0.536296177476141,0.599622535121179,13.0651492149156,1.31663859625137e-37,5.60942901944593e-35,74.5238408105384,1.45024452966533,1.45
"HLA-DMB","HLA-DMB",0.531534459522872,1.33926580841684,12.0049047845596,3.42487556534745e-32,7.00387053113553e-30,62.2172813479497,1.44546578471811,1.45
"IFI27","IFI27",0.525334507584325,1.21717951561217,10.4635748189019,4.95435491687147e-25,4.64754853440466e-23,45.9677211482533,1.43926725413343,1.44
"LAPTM5","LAPTM5",0.520177796853027,0.560177243387749,9.37582346747174,1.66664127881272e-20,1.00243571034471e-18,35.7156044272448,1.434131978672,1.43
"IFITM1","IFITM1",0.518588108137703,1.92188613583513,10.2374079121751,4.70606295585525e-24,4.00995781030166e-22,43.7518445717169,1.43255259580584,1.43
"GBP2","GBP2",0.51758412348933,0.448719920674177,12.202022044109,3.61021845153268e-33,8.41558019039755e-31,64.4369617995612,1.43155601618223,1.43
"TRIM22","TRIM22",0.508215575047225,0.86163739141099,11.7920195972759,3.75397363881588e-31,6.97897826488953e-29,59.8555921956415,1.42228992071701,1.42
"LCP1","LCP1",0.507673996595743,0.686508988817085,9.9635070868932,6.77932068753283e-23,5.02308362536399e-21,41.1271872706833,1.42175610241883,1.42
