"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"CCL18",8002,12.1571441679787,0.0712580346289977,0,0,1.82297427153762,0.866294200111545,1.82
"AIM2",3894,21.7430565433387,0.0393618010261337,0,0,1.80981955794916,0.855845865358873,1.81
"MCUB",5348,19.5889429871787,0.043669674808548,0,0,1.80931395713449,0.855442770093279,1.81
"NKG7",2398,18.9854789128194,0.0449328987386329,0,0,1.80634391960258,0.853072601494165,1.81
"IL2RB",6947,20.4888580281279,0.0415189770254961,0,0,1.80334624864752,0.850676425748494,1.8
"ITK",3345,19.9267493280891,0.042609954780532,0,0,1.80134920777862,0.849077887792874,1.8
"HLA-DPB1",1892,18.9657439758889,0.0445281102182569,0,0,1.79565319160808,0.84450873812962,1.8
"VCAN",6919,13.5613133044467,0.0616548518987534,0,0,1.78524337364357,0.836120763338258,1.79
"SLA",6627,20.1827623664854,0.0414269731237293,0,0,1.78523098791418,0.836110754119004,1.79
"GPR18",4863,19.6783945277972,0.0424275374032548,0,0,1.78374059121268,0.834905819864117,1.78
"WARS",2067,15.5944029380408,0.0533778907959539,0,0,1.78064057674051,0.832396337054845,1.78
"C3AR1",4797,17.6444098077289,0.047059240035432,0,0,1.7780951354945,0.830332516425444,1.78
"CD74",394,14.0761556430906,0.0586899809194956,0,0,1.77292229504532,0.826129306112835,1.77
"BCL2A1",9475,16.9766837360052,0.0486194750732509,0,0,1.77202315013432,0.82539745172917,1.77
"LY86",1821,18.6294107617669,0.0441891180181064,0,0,1.76934726633521,0.823217230759498,1.77
"IFITM1",4760,13.3025682339092,0.0612909670610768,0,0,1.75969728912297,0.815327271452252,1.76
"KLRB1",7641,16.1589569780539,0.0502262620735836,0,0,1.7551617710164,0.811604008015497,1.76
"TMSB10",6021,17.7121345730924,0.0457190283434036,0,0,1.75294603452976,0.809781582569388,1.75
"RASSF2",10144,19.122238342296,0.042277410785622,0,0,1.75131515575542,0.808438725537821,1.75
"UBE2L6",4576,17.838640070713,0.0452198586047935,0,0,1.74915820502116,0.806660781699447,1.75
"ARHGAP15",640,19.2809917982263,0.041834477391302,0,0,1.74909689837511,0.806610215464779,1.75
"HLA-E",5550,19.1013540174176,0.0422073106757721,0,0,1.74861997354707,0.806216783341051,1.75
"TGFBI",5814,13.870369440915,0.0579763988566729,0,0,1.7461216474101,0.804154070995897,1.75
"PYCARD",6696,17.1304716511668,0.0469354146469756,0,0,1.74596639340326,0.804025790045776,1.75
"GIMAP4",601,20.3129801539049,0.0395175928697894,0,0,1.74438692233868,0.802720079694127,1.74
"CD14",2401,12.7517479356912,0.0627743143007488,0,0,1.74168320137991,0.800482232799004,1.74
"BTN3A2",2007,19.9284613324533,0.0401074734492638,0,0,1.74023270104824,0.799280233776054,1.74
"HLA-C",4688,15.1655368288867,0.0526283199850139,0,0,1.73885390447951,0.798136724975163,1.74
"SAMSN1",1938,18.3862428850431,0.0429294934212331,0,0,1.72825020044938,0.789312092974653,1.73
"RRM2",5496,15.1063274746046,0.0522279717033786,0,0,1.72784385097152,0.78897284388562,1.73
"CST7",5104,18.1989251371352,0.0431742071782116,0,0,1.72395744692099,0.785724164291438,1.72
"CD247",9605,19.9070716113972,0.0392217628065344,0,0,1.71807193273352,0.780790440914917,1.72
"LILRB1",2021,20.6652446046331,0.0377170665196828,0,0,1.71645544079347,0.779432405398462,1.72
"MS4A4A",5943,15.0555440861209,0.0517058920982075,0,0,1.7152993070645,0.778460337996773,1.72
"COL3A1",2408,10.6902784544887,0.0721689275132668,0,0,1.70705072760701,0.771505930878633,1.71
"MARCH1",185,20.9421157699109,0.0366715404932886,0,0,1.70288339106496,0.767979646471423,1.7
"CXCR4",756,17.2539372384213,0.0442119776641172,0,0,1.69681665625577,0.762830687803161,1.7
"UCP2",6378,12.5951434127275,0.0604721097436025,0,0,1.6954343179941,0.761654894690873,1.7
"MAFB",5509,18.7302801955128,0.0406430120756149,0,0,1.69496443756504,0.761255004165878,1.69
"CD38",4787,16.2228434280361,0.0468457902877984,0,0,1.69345766496075,0.759971921101569,1.69
"IL2RG",8593,13.1835612154414,0.057341783950038,0,0,1.68876539208022,0.755968918907938,1.69
"BIRC3",9068,16.2593723414044,0.0463123421934928,0,0,1.68530489171765,0.753009615726534,1.69
"F13A1",8125,13.1692563286386,0.0570679243900732,0,0,1.68359149230368,0.751542124436239,1.68
"DOCK10",9965,17.1342090524231,0.0437137995938623,0,0,1.6806291128952,0.749001380716967,1.68
"LAMP3",5135,17.4382575016942,0.0428499727620957,0,0,1.67856552889078,0.747228858966008,1.68
"AOAH",8916,19.9585160124525,0.037287745956228,0,0,1.67505454471025,0.744208074735637,1.68
"HCP5",4312,17.9308026504363,0.041453562646445,0,0,1.67399550150881,0.743295650970904,1.67
"SASH3",6955,18.6111510299436,0.0399369589885158,0,0,1.67396895863028,0.743272775411928,1.67
"ITGAL",4269,19.2057238790959,0.0384798095280949,0,0,1.66905627308023,0.739032596716792,1.67
"HCK",3222,17.1492860031163,0.0430929246651208,0,0,1.66903347426318,0.739012889792903,1.67
"GPR183",3272,19.8230186902947,0.0370900772978352,0,0,1.66467125321003,0.735237295499463,1.66
"MYO1F",6694,20.9481530306424,0.035003184876748,0,0,1.66238215576948,0.733252073357986,1.66
"RARRES1",10095,12.7432678491523,0.0575228619153074,0,0,1.66212540653345,0.733029236836562,1.66
"LCK",3601,19.8106986629878,0.0369954229919746,0,0,1.66198248342016,0.732905176803781,1.66
"HLA-DOB",4599,18.63586882376,0.0393270593169968,0,0,1.66196951410147,0.732893918655782,1.66
"TLR2",5478,20.3797522944214,0.0359355176665166,0,0,1.66135104536629,0.732356948615414,1.66
"SLAMF7",4796,17.1844554524465,0.0425882593311263,0,0,1.66077432484045,0.731856045272977,1.66
"BIN2",2005,23.5817302720343,0.031024855425268,0,0,1.66050235894749,0.731619772367532,1.66
"IFI44L",4880,10.9948078176957,0.0663798701425086,0,0,1.65844815805631,0.729833915180479,1.66
"S100A9",1281,10.3280053211535,0.0704149617419792,0,0,1.65547600449282,0.727246099559984,1.66
"CLEC10A",9481,17.2322927982672,0.0417705553792154,0,0,1.64695648863804,0.719802440640876,1.65
"NCF2",4286,18.0915542839786,0.0397034740325083,0,0,1.64523943291808,0.718297555721657,1.65
"MTHFD2",7635,15.9585906536693,0.0445977485109955,0,0,1.63775234298921,0.711717212562266,1.64
"TNFAIP8",3232,18.8715170732324,0.0377129895155181,0,0,1.63773430806919,0.711701325524734,1.64
"MMP9",5901,10.1411938630865,0.0698783816437755,0,0,1.63427437515279,0.708650215088271,1.63
"LYN",8885,16.5151503871384,0.0428661643063605,0,0,1.63347134881341,0.70794115003933,1.63
"CSF1R",4665,14.5017816634438,0.0484737236123544,0,0,1.62783599647136,0.702955356240485,1.63
"CCL8",515,10.670574170778,0.0654717674081274,0,0,1.62295314572414,0.698621350220346,1.62
"PLA2G7",9217,15.1183863191423,0.045892825994885,0,0,1.61756700274645,0.693825472667847,1.62
"RNASET2",1218,14.9290685769067,0.0462164999272416,0,0,1.6132491851717,0.689969296798391,1.61
"ACKR1",8028,10.7912189855638,0.0631256237384519,0,0,1.60347563203898,0.681202429361942,1.6
"ALOX5AP",2102,12.5819541556533,0.0538434070557812,0,0,1.59931628605953,0.677455279160018,1.6
"NCKAP1L",8889,17.7136816818899,0.0379254015108258,0,0,1.59305766499026,0.671798490020636,1.59
"NMI",552,18.8647847817865,0.0355062752520392,0,0,1.59087252766968,0.669818241032593,1.59
"TNFRSF17",707,10.7798905206049,0.0621202058925581,0,0,1.59068593558959,0.66964901863921,1.59
"TNFAIP3",844,17.8033726024228,0.0374985314565851,0,0,1.58842869393923,0.667600327565256,1.59
"ARHGAP25",3131,18.797796218041,0.035376957768546,0,0,1.58557799193406,0.665008842947371,1.59
"LILRB2",8297,16.5618888005249,0.0400725562848775,0,0,1.58411516295802,0.663677221142916,1.58
"COL1A2",736,8.70286507284776,0.075944888810048,0,0,1.58111041516225,0.660938120286274,1.58
"FCMR",1565,17.3736349666474,0.0377557749502368,0,0,1.57565868063088,0.655955051868305,1.58
"CCL2",2757,10.0102888339886,0.0655037623984378,0,0,1.57539279345362,0.655711581321324,1.58
"SERPING1",6628,12.9793074835917,0.0505177357054445,0,0,1.57536401326977,0.65568522509578,1.58
"MS4A1",9256,13.0371209034291,0.0500932499353448,0,0,1.57251279498172,0.653071755852783,1.57
"RGS1",6760,14.486292134044,0.0450352955083088,0,0,1.57177471332707,0.65239444707636,1.57
"CRLF3",7780,17.9580847196162,0.036262748076052,0,0,1.57048427992159,0.651209502115841,1.57
"RAB31",2272,16.2142791200043,0.0401410893846052,0,0,1.57010259003786,0.65085882746303,1.57
"CD86",9405,19.1746697782971,0.0337572547711655,0,0,1.56621710899512,0.647284212858943,1.57
"BASP1",10113,11.13496010465,0.0580851303760888,0,0,1.56566505675748,0.646775609411144,1.57
"CLIC2",8124,20.8879417930269,0.0308990889690035,0,0,1.56419282587349,0.645418371842106,1.56
"PRF1",2570,17.9435440370577,0.035878490889553,0,0,1.56242537093419,0.643787281259866,1.56
"LY96",8406,12.9578084875984,0.0496319193335811,0,0,1.56170385890565,0.643120905596477,1.56
"ISG15",5639,9.97221531209448,0.0643790626213008,0,0,1.5604929874152,0.642001874050425,1.56
"PTPRCAP",2950,19.1072603986901,0.0335530147609744,0,0,1.55952447047844,0.641106190199031,1.56
"PLEKHO1",9450,16.015697622989,0.0398710881541404,0,0,1.55677806928586,0.638563291776251,1.56
"PVRIG",5082,17.2091780267939,0.0370594972557475,0,0,1.55591525683738,0.63776348585764,1.56
"FOLR2",7257,13.951599747605,0.0455728604201019,0,0,1.55381453022734,0.635814307934732,1.55
"CFB",9078,11.6328900349438,0.0544794707057816,0,0,1.55159678526501,0.633753691882299,1.55
"SAMHD1",6899,19.4298858839539,0.0325586147741712,0,0,1.5503674315523,0.632610169601763,1.55
"HOPX",5092,14.1812918351845,0.0445172836093966,0,0,1.54897363744326,0.631312590574527,1.55
"CKLF",7515,13.4321349894911,0.0469858565153916,0,0,1.54876726747362,0.631120367311602,1.55
"FYB1",4141,18.7122339943707,0.0337011730527071,0,0,1.54823475038969,0.630624236047036,1.55
"ARL4C",2147,18.1198639125304,0.0346819984676237,0,0,1.54588509942105,0.62843309244793,1.55
"VIM",8847,10.7453413288551,0.0580433834403793,0,0,1.54081747116128,0.623695966948494,1.54
"CELF2",6891,19.8204246237666,0.0314366483059332,0,0,1.54016799030854,0.623087718171609,1.54
"TCIRG1",9546,15.5741079143088,0.0399191663324228,0,0,1.53869298978407,0.621705404310396,1.54
"CD37",7439,14.5262723079401,0.0427970585873494,0,0,1.53866773719585,0.621681727018702,1.54
"TRAT1",10038,15.9527901703892,0.0389470651555137,0,0,1.5382759796841,0.621314358178385,1.54
"STAT4",9006,19.250432944885,0.0322245463784434,0,0,1.53723365727327,0.620336469237563,1.54
"LAIR1",7827,18.8020193929431,0.0328993641165539,0,0,1.53535735462156,0.618574482134942,1.54
"ITGAM",2133,16.4244215692849,0.0376095842557112,0,0,1.53444365081105,0.617715666861342,1.53
"CD3G",8887,14.8236410966619,0.0415919201336701,0,0,1.53319765490178,0.616543696582554,1.53
"TNFRSF1B",9775,15.1644462874049,0.0406512282617601,0,0,1.53310166232565,0.616453367492497,1.53
"ARHGEF6",4321,15.3808633462023,0.0400564517707522,0,0,1.53272918324141,0.616102810819682,1.53
"ADGRE5",7127,15.9696145601149,0.0385656597944663,0,0,1.53249112840408,0.615878722174146,1.53
"C1R",2362,13.5882134591829,0.045270931683165,0,0,1.5317183946862,0.615151083206932,1.53
"GLIPR1",9618,17.0970952702023,0.0358205785935279,0,0,1.52882984248009,0.612427844847314,1.53
"C1S",3985,12.95683884784,0.0472438850966692,0,0,1.52851573701947,0.612131405743416,1.53
"SIRPG",9473,16.4110264249496,0.0372205423722014,0,0,1.52713468372346,0.610827304421153,1.53
"TOP2A",6718,14.3161093275732,0.0422223718386167,0,0,1.52040965444952,0.604460091311085,1.52
"KLRD1",6580,20.6449753806755,0.0292600875826193,0,0,1.52000259614915,0.604073787779586,1.52
"ITM2A",5449,13.2281572284564,0.0453309084430162,0,0,1.51534299737176,0.599644384192978,1.52
"IFIT3",9216,11.3063872063841,0.0528869041432697,0,0,1.51357463455285,0.597959816390728,1.51
"CD27",814,15.9012429413072,0.0375742422476342,0,0,1.51306834399005,0.597477154315163,1.51
"BAZ1A",519,16.9663859492756,0.0351502113243325,0,0,1.51190977911698,0.596372051527224,1.51
"P2RY13",4780,17.0530326133008,0.0348937210496474,0,0,1.51051840529721,0.595043763059057,1.51
"MZB1",6544,9.5338544545563,0.0621762749221136,0,0,1.50814961322925,0.592779555633909,1.51
"RUNX3",3910,19.9464134238366,0.0297072629380697,0,0,1.50791316143621,0.592553348253357,1.51
"KIAA1551",1674,14.9245121527217,0.0396697298239487,0,0,1.50738857676574,0.59205136485271,1.51
"VAMP5",6590,13.3581424769471,0.0442501106374083,0,0,1.5063941291874,0.591099282515173,1.51
"RUBCNL",6610,18.1850791005345,0.0324658829883376,0,0,1.50565856500856,0.590394650211617,1.51
"RGS19",8447,18.8777275109237,0.0312176096418617,0,0,1.50453485387689,0.589317528361448,1.5
"MICB",2276,18.7904191835385,0.0312904393998931,0,0,1.50312029471965,0.587960472761101,1.5
"HLA-DQB2",2898,18.2748435475951,0.0321165276393324,0,0,1.50204133777549,0.586924517900812,1.5
"CASP4",2657,15.3868417166923,0.0380857177495832,0,0,1.50109877361423,0.586018910679456,1.5
"FXYD5",9046,13.947025573966,0.0417546815863687,0,0,1.49728993522553,0.582353611917892,1.5
"GIMAP6",3589,18.707766242835,0.0311102797502042,0,0,1.49692697250121,0.582003841316023,1.5
"GNLY",7840,14.9143419139549,0.038819341550854,0,0,1.4937771477948,0.578964932764034,1.49
"FKBP11",1831,11.3238724219617,0.051041829190082,0,0,1.49276923844236,0.577991161932048,1.49
"TARP",10216,14.571176454653,0.0396371353407377,0,0,1.49232286071299,0.577559693206849,1.49
"WIPF1",1241,18.6498854649107,0.030672450442622,0,0,1.48662181911093,0.572037687683049,1.49
"CEBPB",16,11.8132636783652,0.0483459650738726,0,0,1.4856802320676,0.571123633202693,1.49
"SP140",4890,16.5453729268365,0.0345122680714849,0,0,1.48557181156977,0.571018345793669,1.49
"IFI44",5425,11.2792830039714,0.0503962506969849,0,0,1.48291260339925,0.568433573950385,1.48
"LAP3",6110,15.3852188020498,0.0368017513883766,0,0,1.4806216172904,0.566202997408815,1.48
"FAM129A",7548,14.1247604993115,0.0400350702099432,0,0,1.47988572634721,0.565485778288567,1.48
"SIGLEC1",6011,14.6917093694446,0.0381441168018697,0,0,1.47468035689669,0.560402278207219,1.47
"EMP3",8230,12.8616268831397,0.0434813966229098,0,0,1.47349432053572,0.559241499721675,1.47
"CD96",932,18.1713678844153,0.0306900618181756,0,0,1.4719007598793,0.557680403693518,1.47
"LGALS1",967,9.25440381567648,0.0602000377932493,0,0,1.4713244918281,0.557115459457715,1.47
"IFNG",6775,16.5897646268274,0.0335651849475979,0,0,1.47104208166899,0.556838517936582,1.47
"PLTP",2634,7.98931586771091,0.0695504500495372,0,0,1.46984142196507,0.555660514187203,1.47
"TLR8",8314,17.525201917397,0.0315972840435135,0,0,1.46789500860141,0.553748782903922,1.47
"ANXA2",9614,10.8629934508199,0.0508323341590773,0,0,1.46631118904998,0.552191313059946,1.47
"NCF4",4913,15.7538951661434,0.0349137640040587,0,0,1.46411388605292,0.550027777975412,1.46
"TUBA1A",9027,12.4920853926567,0.0439204496729422,0,0,1.46272443941426,0.548658007798276,1.46
"APOL3",1628,18.3671990292797,0.0298435994927125,0,0,1.46220271090217,0.548143331632762,1.46
"BTN3A1",9640,19.2578298533532,0.0284500468784573,0,0,1.46194208723854,0.547886162105253,1.46
"TRAF3IP3",5452,17.5210999464732,0.0312694481747743,0,0,1.46193090469415,0.547875126741286,1.46
"ITGAX",1749,14.2156931879449,0.0385336434013176,0,0,1.46183699731726,0.547782452006809,1.46
"BTK",2172,19.6817264947938,0.0276906372225696,0,0,1.45901988740984,0.544999548281172,1.46
"LIPA",2940,12.1590289228826,0.0446800763546322,0,0,1.45726812012281,0.543266340672575,1.46
"ACSL5",7361,18.7919998452032,0.0288982592915303,0,0,1.45705575519656,0.543056084133079,1.46
"TNC",8349,11.2053208156975,0.0483471453207056,0,0,1.45573249821971,0.541745273841656,1.46
"NELL2",3166,15.2014088520445,0.0355452269443956,0,0,1.45431272307194,0.540337527520467,1.45
"PSTPIP2",4261,14.7300318963447,0.0366009200068213,0,0,1.45309871963383,0.539132719136037,1.45
"CD300A",5602,17.4271978910085,0.0309151240460445,0,0,1.45272737348261,0.538763984575492,1.45
"ADGRE2",1739,18.0403683298553,0.0298348731233506,0,0,1.45219188918093,0.538232100219745,1.45
"LAX1",4685,15.6704197782528,0.034274316218108,0,0,1.45104566543128,0.53709292275033,1.45
"P2RX7",1259,19.1646126549547,0.0279424673135499,0,0,1.44945100007328,0.535506562687913,1.45
"CD44",6892,15.4272577628459,0.0346913745776852,0,0,1.44913578000873,0.535192777757388,1.45
"ANXA1",7959,12.8002459644958,0.0417397219319906,0,0,1.44821791951432,0.53427870721914,1.45
"LAT2",5628,17.7167433381222,0.0301379438712674,0,0,1.44788419422767,0.533946216305977,1.45
"CD72",4316,14.7313028047477,0.036217515035671,0,0,1.44746772583637,0.533531180825971,1.45
"CD1D",8589,15.9224363527353,0.0334751569409003,0,0,1.44694095946956,0.533006055789308,1.45
"P2RY14",4291,14.6797601469012,0.0362018416492364,0,0,1.44536548870261,0.531434352286887,1.45
"BST2",798,11.6349421536184,0.0455782054789385,0,0,1.4442292673619,0.530299784213182,1.44
"CLEC4A",7669,17.0936928316118,0.0309965215415293,0,0,1.44377408935374,0.529845018079339,1.44
"EZH2",10123,16.8435359120143,0.0313083296439306,0,0,1.44127234459569,0.527342974702727,1.44
"HLA-DOA",7204,16.2311751914096,0.0324850758843374,0,0,1.44120040049218,0.527270957784917,1.44
"VNN2",9474,14.9311514845385,0.0352126294290374,0,0,1.43969689175549,0.525765104173878,1.44
"PARP12",6574,13.1147866113728,0.0399910639331894,0,0,1.43840931609309,0.524474269845547,1.44
"SH3BGRL3",8328,11.6197965269013,0.0451187742778295,0,0,1.43820664108963,0.524270976651565,1.44
"CFD",7625,7.65995576117721,0.0681816088347905,0,0,1.43621138831675,0.522268107400385,1.44
"CX3CR1",5331,11.4191222221733,0.0456152669230063,0,0,1.43483645763899,0.520886308190869,1.43
"RAB27A",4254,18.3773635034047,0.0283151382134391,0,0,1.43431071341214,0.520357587597515,1.43
"FGR",8915,14.2821241206586,0.0363397289459135,0,0,1.43297011223767,0.519008519316627,1.43
"CLEC7A",3874,16.5521328047483,0.031303075124535,0,0,1.43210041762366,0.518132656658316,1.43
"PLA1A",4390,11.8277013031931,0.0438044226375851,0,0,1.43207358643086,0.518105626716189,1.43
"THEMIS2",714,15.9864217146156,0.0323894725711708,0,0,1.4317620719408,0.517791767636712,1.43
"NOD2",583,18.326906662543,0.028242142143567,0,0,1.43156294183627,0.517591103015427,1.43
"ARPC5",4017,14.7531220549445,0.0350058954097056,0,0,1.43042737098424,0.516446247622004,1.43
