"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"PODXL",8947,5.93261348631527,0.0607522852350437,0,0,1.28379943102809,0.360419826709892,1.28
"TM4SF1",228,6.99671007116001,0.0513820039942942,0,0,1.28298560609603,0.359504984823263,1.28
"IMPA2",1606,6.18693632696318,0.0580674124577435,0,0,1.28276721199823,0.359259383547567,1.28
"MSRA",332,4.71269962269517,0.0756165639251165,1.9559902200489e-06,7.50455445723816e-06,1.28019018448339,0.356358152279403,1.28
"SOSTDC1",7403,5.68684026722865,0.0625615581597384,0,0,1.27967511859037,0.355777588123368,1.28
"ACOX2",9660,4.95739509961331,0.0716927603185123,1.9559902200489e-06,7.50455445723816e-06,1.27934852184005,0.355409338680745,1.28
"ID4",9817,8.06296839857019,0.043884810052595,0,0,1.27795925222004,0.353841836631329,1.28
"ESRRG",4327,7.46529988806227,0.0473809592481691,0,0,1.27784519384216,0.35371306977164,1.28
"CRYL1",3771,5.24161179580452,0.0674177346020089,0,0,1.27754808488219,0.353377592936308,1.28
"NDRG1",6117,7.80783871792719,0.0449260595107547,0,0,1.27524586862898,0.350775426891972,1.28
"EMCN",10214,7.24932612266119,0.0483628590443095,0,0,1.27508916624343,0.350598137436494,1.28
"CYFIP2",2560,5.28744521745155,0.0661291101485973,0,0,1.27425502914691,0.349654047189528,1.27
"AGMAT",6704,3.61725792388585,0.0963646713589352,0.000323716381418093,0.000771772487352474,1.27330308983972,0.348575871055764,1.27
"RGN",1913,5.33208832432734,0.0652776054378485,0,0,1.2728531268302,0.348065957795199,1.27
"RGS5",9116,6.00267075693192,0.0579766511098715,0,0,1.27280794671101,0.34801474820207,1.27
"FMO1",5206,3.45557658771562,0.100669317523257,0.000605378973105135,0.00134243491255877,1.27268072347753,0.347870536734676,1.27
"ECHDC3",8597,5.53972426716759,0.0626093078918184,0,0,1.27177045831599,0.346838302278874,1.27
"KNG1",3268,4.76756061262041,0.072664524981559,1.9559902200489e-06,7.50455445723816e-06,1.27141280813325,0.346432527236853,1.27
"EFHD1",904,6.66631932498566,0.0518445156796791,0,0,1.2706899878322,0.345612096769966,1.27
"TREH",1115,6.33626808967592,0.0544774540114457,0,0,1.27031276967653,0.34518375345951,1.27
"GPD1",6182,4.79369890455443,0.071610503266233,1.9559902200489e-06,7.50455445723816e-06,1.26863688281266,0.343279191061933,1.27
"SLC47A1",4004,4.02899486425425,0.0836647684827275,6.55256723716381e-05,0.000191581339428024,1.26320161652534,0.337084922535931,1.26
"ACADSB",4571,4.88746891777026,0.0689112639514869,1.9559902200489e-06,7.50455445723816e-06,1.2629536211135,0.336801660647154,1.26
"HMGCS2",6586,4.71423550113375,0.0713062104342437,1.9559902200489e-06,7.50455445723816e-06,1.26238701307574,0.336154268680426,1.26
"PRODH2",6280,3.36393414865272,0.0996398263982348,0.0008440097799511,0.00180317915520488,1.26153638301329,0.335181814586852,1.26
"BHMT2",4968,4.06018237157575,0.0822068670908865,6.06356968215159e-05,0.000180141874785992,1.26030670987102,0.333774872584887,1.26
"PHYH",7739,4.94865334350086,0.0672168391415488,1.9559902200489e-06,7.50455445723816e-06,1.25930944634347,0.332632835757384,1.26
"AQP3",527,5.362534262302,0.061803724375395,0,0,1.25825522565707,0.331424589500926,1.26
"KHK",4033,4.41850883428717,0.0746767856028259,1.07579462102689e-05,3.74927540683619e-05,1.25697855534578,0.329960036902255,1.26
"PLAT",4019,5.45631572564822,0.0604683269042787,0,0,1.25695611690679,0.329934282991453,1.26
